,wu_avg,tsai_avg,cox_avg,true_prob
0,1,1,1,1
1,1,1,1,0.999999977
2,1,1,1,0.9999996249203711
3,0.99999552,0.99999517,1,0.9999981011608255
4,0.99998563,0.99998451,1,0.9999939987428201
5,0.9999751,0.99997316,1,0.9999853485565827
6,0.99996307,0.99996017,1,0.9999696190058751
7,0.99995115,0.9999473,1,0.9999437161866295
8,0.99993933,0.99993455,1,0.9999039842068117
9,0.9999276,0.99992191,1,0.9998462057083946
10,0.99991405,0.99990737,1,0.9997656026633385
11,0.99987704,0.99986884,1,0.9996568375264505
12,0.99982766,0.99981725,1,0.9995140148388771
13,0.99973943,0.999726,1,0.9993306833867787
14,0.99962431,0.99960662,1,0.9990998390303599
15,0.99946248,0.99943736,1,0.9988139283288706
16,0.99926603,0.99923369,1,0.998464853
17,0.99901209,0.9989785,1,0.9980439760407371
18,0.99872927,0.99869533,1,0.997542128
19,0.99837163,0.99834175,1,0.9969496143166316
20,0.99794349,0.99792938,0.9987357588823429,0.9962562284604397
21,0.9974332,0.99743503,0.9987357588823429,0.9954512598123201
22,0.99677988,0.99680588,0.9981036383235143,0.9945235090762687
23,0.99598721,0.99603496,0.9943109149705429,0.9934613035396472
24,0.99502476,0.99510496,0.9901503135827138,0.9922525150354438
25,0.9939336,0.99405229,0.9859897472843279,0.9908845804259363
26,0.99266769,0.99284186,0.9840933856078421,0.9893445248081483
27,0.99123512,0.99148072,0.9755079389023831,0.9876189876410066
28,0.98963668,0.98995111,0.9671867338524318,0.9856942519916027
29,0.98787138,0.988253,0.9564406843523463,0.9835562770931993
30,0.98588648,0.98632727,0.9489820118859371,0.981190734
31,0.98368463,0.98417719,0.9329078166201862,0.9785830473167187
32,0.98131985,0.98187587,0.916778628,0.9757184347575688
33,0.97876679,0.97940631,0.8988267068732837,0.9725819586940926
34,0.97605583,0.97677849,0.8736533641775425,0.9691585758054945
35,0.97309642,0.97390904,0.8440903088530956,0.9654331933428586
36,0.96996797,0.97087507,0.8168617105520896,0.9613907292810893
37,0.96662023,0.96765305,0.7912373440218987,0.9570161768043094
38,0.96308776,0.96426387,0.7643711875610352,0.9522946731348244
39,0.95937147,0.96067731,0.7395798274910929,0.947211573
40,0.9554223,0.95686404,0.7154742494339237,0.9417525243974473
41,0.95119928,0.95278504,0.6929647849320892,0.9359035533361258
42,0.94675496,0.94845116,0.6730377048917839,0.9296511460477667
43,0.94205297,0.94386131,0.6642206072858319,0.9229823397699247
44,0.93704052,0.93893018,0.6534509118867682,0.9158848150107215
45,0.93163912,0.93357565,0.6445898697871957,0.9083469912066413
46,0.92580251,0.9277392,0.6366670876480974,0.9003581250273465
47,0.91943402,0.92140369,0.6286446625123876,0.8919084108352572
48,0.91238433,0.91434971,0.6218867599615956,0.8829890827355835
49,0.90469802,0.90664798,0.6154435115354168,0.8735925175790941
50,0.89643746,0.89833438,0.6093392880638266,0.8637123382060349
51,0.88753352,0.88941856,0.6020604879868778,0.853343516
52,0.87789709,0.87973863,0.594509131,0.842482473
53,0.86770807,0.86944173,0.5859206037805367,0.831127179
54,0.85686282,0.85849743,0.5779522867227044,0.8192772495041112
55,0.84543129,0.8469538,0.569738396,0.8069340354266378
56,0.83344185,0.83486566,0.5612628712055525,0.7941007095119524
57,0.8207498,0.82209079,0.5519131903296856,0.7807823454388599
58,0.80732485,0.80856102,0.5419051808253856,0.7669859892414611
59,0.79322875,0.79440342,0.5319652338946042,0.7527207217342666
60,0.77854084,0.77964806,0.5214035556531805,0.7379977107391876
61,0.76336102,0.76443719,0.5109149389483336,0.7228302519153452
62,0.74761241,0.74865338,0.50024262,0.7072337970171932
63,0.73133279,0.73235419,0.4885187383253208,0.6912259684491839
64,0.71460883,0.7155491,0.4773350475998802,0.6748265590473193
65,0.69741644,0.69833249,0.4655504191361556,0.6580575161004485
66,0.67971647,0.68072995,0.4532053180629039,0.6409429087278227
67,0.661702,0.66276197,0.44045098975124053,0.6235088778546294
68,0.64328793,0.64441013,0.4279616318827724,0.605783568
69,0.62455513,0.62567921,0.4153343133676585,0.5877970416525956
70,0.60555636,0.60666158,0.4024003952095502,0.5695811723236524
71,0.58640847,0.58746004,0.38953768695823193,0.551169522
72,0.56713697,0.56807267,0.3768688403030492,0.5325971993419717
73,0.54768434,0.54853539,0.3638228601643917,0.5139006959227896
74,0.52808766,0.52890464,0.35094198146730576,0.4951177112568973
75,0.50841626,0.50915716,0.3379159264513614,0.47628695642811003
76,0.48861012,0.48936904,0.32462768553885346,0.45744794429281266
77,0.46881935,0.46962963,0.3115888638477835,0.4386407654640163
78,0.44909711,0.44995032,0.29820708943381863,0.41990585212634296
79,0.42939075,0.43028283,0.2851878725772815,0.40128373166248316
80,0.40976998,0.41070519,0.27206138378615286,0.3828147723101856
81,0.39034001,0.39124359,0.25888568830434594,0.3645389232871502
82,0.37117742,0.37202858,0.24584739057388566,0.34649545201381693
83,0.35237175,0.35309575,0.2335038558339831,0.3287226812254863
84,0.33392584,0.33453241,0.2214741380579784,0.311257729
85,0.31590562,0.31640791,0.20964775799213706,0.29413625393424636
86,0.29820387,0.29851845,0.19792975637803328,0.2773922108111469
87,0.28085342,0.28099717,0.18627042594850354,0.2610576159496356
88,0.2639584,0.26392932,0.17517973541826473,0.2451623290427278
89,0.24754634,0.2473508,0.16417822273013546,0.2297338520352184
90,0.23162597,0.23117103,0.15331263441390272,0.21479714849416984
91,0.21624807,0.21550963,0.1431983304617517,0.20037448582752107
92,0.20143163,0.20044214,0.1337179366298437,0.18648530254404033
93,0.18719431,0.1859083,0.12434255722588242,0.1731461024284981
94,0.17355345,0.17194442,0.11519254665103715,0.16037037714349442
95,0.16051635,0.15846528,0.10654873403009538,0.14816855836972295
96,0.14807057,0.14561057,0.098298585,0.1365480001665513
97,0.13626,0.13339203,0.090449747,0.12551299178274083
98,0.12511897,0.12179912,0.083049314,0.11506480068181917
99,0.11464067,0.1109511,0.076106073,0.10520174507770469